tissue,stability_cv
Brain_Spinal_cord_cervical_c_1,0.4452790310406946
Brain_Cerebellar_Hemisphere,0.4687370140858995
Bladder,0.4767601506176318
Brain_Cerebellum,0.6749219160640221
Cells_EBV_transformed_lymphocytes,0.7092139131411103
Brain_Hippocampus,0.7552166379153701
Brain_Cortex,0.7780008036752996
Ovary,0.7867443306711941
Colon_Sigmoid,0.8112131112251677
Brain_Caudate_basal_ganglia,0.8204889413398743
Vagina,0.8548243591570803
Uterus,0.8883250163442885
Brain_Frontal_Cortex_BA9,0.895560465402595
Adrenal_Gland,0.9434988558252492
Brain_Anterior_cingulate_cortex_BA24,0.9448493268746228
Minor_Salivary_Gland,0.9660644589964252
Brain_Nucleus_accumbens_basal_ganglia,0.968705261982334
Liver,0.9692526074122814
Thyroid,0.9732048698993352
Brain_Hypothalamus,0.999943653807532
Small_Intestine_Terminal_Ileum,1.0053382812232874
Kidney_Cortex,1.0092149788768798
Cells_Cultured_fibroblasts,1.0141937661962432
Esophagus_Gastroesophageal_Junction,1.0154011781530776
Brain_Substantia_nigra,1.0473808646045593
Nerve_Tibial,1.0646457502144302
Artery_Aorta,1.0688791337039585
Esophagus_Mucosa,1.070651659564864
Colon_Transverse,1.077684000742544
Testis,1.0994619653173343
Artery_Tibial,1.1085788909160967
Brain_Amygdala,1.120752868742365
Lung,1.1396131022294684
Pancreas,1.1512557247165611
Spleen,1.1590675817036848
Artery_Coronary,1.1602318409865615
Skin_Sun_Exposed_Lower_leg,1.1697407758099754
Esophagus_Muscularis,1.1731794793173815
Pituitary,1.1796787186116713
Prostate,1.2017581061144833
Skin_Not_Sun_Exposed_Suprapubic,1.3139470049451418
Heart_Atrial_Appendage,1.3217397826028432
Heart_Left_Ventricle,1.420497107177549
Breast_Mammary_Tissue,1.4508700917384174
Adipose_Subcutaneous,1.4601937493978
Adipose_Visceral_Omentum,1.6114850370531415
Brain_Putamen_basal_ganglia,1.628589441786915
Stomach,1.6459873532532128
Whole_Blood,1.6557637102283047
Muscle_Skeletal,1.7907532231268082
